top - 15:18:28 up  1:05,  1 user,  load average: 1,39, 1,28, 1,33
Tasks: 255 total,   4 running, 250 sleeping,   1 stopped,   0 zombie
%Cpu(s): 30,6 us,  2,9 sy,  0,0 ni, 63,7 id,  2,7 wa,  0,0 hi,  0,1 si,  0,0 st
KiB Mem :  6103252 total,   115084 free,  5615760 used,   372408 buff/cache
KiB Swap: 11717628 total, 11491324 free,   226304 used.   137720 avail Mem 
 3065 damian    20   0  187616   3200   2332 S   0,0  0,1   0:00.01 gvfsd-meta+
 3208 uuidd     20   0   29376    288     96 S   0,0  0,0   0:00.00 uuidd
 3216 damian    20   0    4504    552    480 S   0,0  0,0   0:00.00 sh
 3220 damian    20   0  344980   2716   1408 S   0,0  0,0   0:00.08 zeitgeist-+
 3227 damian    20   0  371240  56904    436 S   0,0  0,9   0:00.79 zeitgeist-+
 3229 damian    20   0  518628   4960   2420 S   0,0  0,1   0:00.27 zeitgeist-+
 3310 damian    20   0  524264   7184   3644 S   0,0  0,1   0:00.20 update-not+
 3368 damian    20   0  428476   7152   3892 S   0,0  0,1   0:00.05 Java Eclip+
 3389 damian    20   0 6678988 1,230g  13520 S   0,0 21,1   9:39.58 java
 3436 damian    20   0  363028   3608   2664 S   0,0  0,1   0:00.04 deja-dup-m+
 3536 damian    20   0 2260072  13768   3116 S   0,0  0,2   0:00.21 WebKitNetw+
 3606 damian    20   0  653580  12120   5496 S   0,0  0,2   2:40.72 deja-dup
 3854 root      20   0       0      0      0 S   0,0  0,0   0:01.44 kworker/0:2
 4038 damian    20   0 2136492  13744   4568 S   0,0  0,2   0:03.78 WebKitWebP+
 4100 damian    20   0 1257124 122000  14436 S   0,0  2,0   1:21.95 chrome
 4107 damian    20   0    8664    176    108 S   0,0  0,0   0:00.00 cat
 4108 damian    20   0    8664    220    152 S   0,0  0,0   0:00.00 cat
 4111 damian    20   0  421040  14548   4452 S   0,0  0,2   0:00.16 chrome
 4112 damian    20   0   25720   2584   2040 S   0,0  0,0   0:00.00 nacl_helper
 4115 damian    20   0  421040  11488   1392 S   0,0  0,2   0:00.04 chrome
 4168 damian    20   0  705052  69296  15164 S   0,0  1,1   0:22.49 chrome
 4259 damian    20   0 1015260  15192   2016 S   0,0  0,2   0:00.68 chrome
 4267 damian    20   0 1614724 159432   9100 S   0,0  2,6   0:20.36 chrome
 4284 damian    20   0 1085896  23976   7220 S   0,0  0,4   0:00.19 chrome
 4294 damian    20   0 1131144  40628   8272 S   0,0  0,7   0:04.26 chrome
 4371 damian    20   0 1332232 182012  11680 S   0,0  3,0   1:36.04 chrome
 4384 damian    20   0 1954760 221132  23116 S   0,0  3,6   0:18.77 chrome
 4402 damian    20   0 1155340  59716   7812 S   0,0  1,0   0:01.41 chrome
 4418 damian    20   0 1182620  78676   6560 S   0,0  1,3   0:02.19 chrome
 4433 damian    20   0 1419796 258248  11500 S   0,0  4,2   0:33.61 chrome
 4452 damian    20   0 1410520 242524  11432 S   0,0  4,0   0:30.11 chrome
 4470 damian    20   0 1166460  51472   6552 S   0,0  0,8   0:01.50 chrome
 4486 damian    20   0 1230244  88888   9112 S   0,0  1,5   0:09.09 chrome
 4502 damian    20   0 1160356  52352   8824 S   0,0  0,9   0:02.61 chrome
 4526 damian    20   0 1230752  81212   9156 S   0,0  1,3   0:04.94 chrome
 4540 damian    20   0 1307784 133112   9832 S   0,0  2,2   0:26.25 chrome
 4558 damian    20   0 1935104 218168  11132 S   0,0  3,6   0:15.18 chrome
 4583 damian    20   0  664820  15092   5564 S   0,0  0,2   0:10.81 gnome-term+
 4622 damian    20   0 1165512  52148   6024 S   0,0  0,9   0:01.43 chrome
 4812 root       0 -20       0      0      0 S   0,0  0,0   0:00.97 kworker/0:+
 5519 root      20   0       0      0      0 S   0,0  0,0   0:03.92 kworker/3:0
 5674 root      20   0       0      0      0 S   0,0  0,0   0:03.67 kworker/2:0
 6002 damian    20   0   24336   4308   1888 S   0,0  0,1   0:00.06 bash
 6056 mongodb   20   0 1141640  44368   4068 S   0,0  0,7   0:07.91 mongod
 6117 damian    20   0  646276   6272   1964 S   0,0  0,1   0:00.20 unity-scop+
 6128 damian    20   0  575624  10004   2240 S   0,0  0,2   0:00.32 unity-scop+
 6130 damian    20   0  648516   5316   2932 S   0,0  0,1   0:00.10 unity-file+
 6167 damian    20   0 5353892 270820    724 S   0,0  4,4   0:29.63 java
 6447 root       0 -20       0      0      0 R   0,0  0,0   0:01.07 kworker/3:+
 6692 root      20   0       0      0      0 S   0,0  0,0   0:01.08 kworker/u8+
 6697 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kworker/1:2
 6977 damian    20   0   24284   5040   2672 S   0,0  0,1   0:00.30 bash
 7121 root      20   0       0      0      0 S   0,0  0,0   0:01.19 kworker/u8+
 7383 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/1:+
 7647 root      20   0       0      0      0 S   0,0  0,0   0:00.50 kworker/u8+
 7723 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/0:+
 7764 damian    20   0   34044   1956   1652 T   0,0  0,0   0:00.00 top
 7896 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/2:+
 7898 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 kworker/3:+
 7904 root       0 -20       0      0      0 S   0,0  0,0   0:00.28 kworker/1:+
 7979 damian    20   0   24204   4100   1824 S   0,0  0,1   0:00.06 bash
